epoch,accuracy,loss,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy
15,0.8376577496528625,0.571989893913269,0.9705799221992493,0.9192854762077332,0.332278311252594,0.9900760650634766
16,0.8731745481491089,0.46173328161239624,0.9815680980682373,0.9315249919891357,0.30078959465026855,0.9940456748008728
17,0.8872111439704895,0.4190409183502197,0.9852545261383057,0.9381409287452698,0.27406519651412964,0.9953688383102417
18,0.9041542410850525,0.3693656325340271,0.9883737564086914,0.9388025403022766,0.26532936096191406,0.9966920018196106
19,0.910321831703186,0.3518633544445038,0.9903587102890015,0.9450876712799072,0.25549691915512085,0.9966920018196106
20,0.9159932136535645,0.3314274847507477,0.9909967184066772,0.9493880271911621,0.2426765412092209,0.9973536133766174
21,0.919679582118988,0.32257091999053955,0.9927690625190735,0.9487264156341553,0.237569198012352,0.9980152249336243
22,0.9248546957969666,0.3037255108356476,0.9939032793045044,0.9530267715454102,0.23338682949543,0.9980152249336243
23,0.9294626116752625,0.2941676378250122,0.9934070706367493,0.9546808004379272,0.22887083888053894,0.9983460307121277
24,0.9327236413955688,0.28575530648231506,0.9939742088317871,0.9573271870613098,0.2239033430814743,0.9983460307121277
25,0.9383240938186646,0.269819051027298,0.9953920245170593,0.9589811563491821,0.21823659539222717,0.9986768364906311
26,0.9383240938186646,0.2681635022163391,0.9951793551445007,0.9589811563491821,0.2168387770652771,0.9983460307121277
27,0.9439245462417603,0.2550193667411804,0.9959591627120972,0.9629507064819336,0.21213652193546295,0.9990075826644897
28,0.9457677602767944,0.24487563967704773,0.9968098402023315,0.9616275429725647,0.21032924950122833,0.9986768364906311
29,0.9463348984718323,0.24609141051769257,0.9951793551445007,0.9636123180389404,0.20450231432914734,0.9990075826644897
